strategy,symbol,train_rank,train_sharpe,train_return_pct,overfit_pct,p_fast_ma,p_slow_ma,p_rsi_period,p_vol_threshold,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate_pct,profit_factor,buy_hold_return_pct,vs_benchmark_pct,p_bb_period,p_bb_std,p_rsi_oversold,p_rsi_overbought,p_lookback,p_atr_mult,p_rsi_buy,p_rsi_sell
mean_reversion,US.SPY,9,-0.1151,22.76,-24.5,,,14.0,,11.49,3.27,10.08,-0.1433,-0.2221,0.3244,18,77.78,3.2727,86.09,-74.6,20.0,1.5,25.0,70.0,,,,
mean_reversion,US.SPY,10,-0.1151,22.76,-24.5,,,14.0,,11.49,3.27,10.08,-0.1433,-0.2221,0.3244,18,77.78,3.2727,86.09,-74.6,20.0,1.5,25.0,75.0,,,,
momentum,US.TNA,10,0.0092,-7.4,1728.3,5.0,15.0,14.0,1.3,-11.32,-3.49,49.74,-0.1498,-0.2309,-0.0702,23,34.78,0.8725,62.79,-74.11,,,,,,,,
rsi_reversal,US.SPY,7,-0.7086,-27.08,73.7,,,7.0,,9.88,2.83,12.81,-0.1861,-0.2913,0.2206,32,62.5,1.866,86.09,-76.21,,,,,,,25.0,70.0
rsi_reversal,US.SPY,8,-0.7086,-27.08,73.7,,,7.0,,9.88,2.83,12.81,-0.1861,-0.2913,0.2206,32,62.5,1.866,86.09,-76.21,,,,,,,25.0,75.0
breakout,US.TNA,3,0.1421,52.26,245.0,,,,1.2,-19.64,-6.26,45.24,-0.206,-0.298,-0.1384,13,30.77,0.6959,62.79,-82.43,,,,,10.0,1.5,,
breakout,US.QQQ,7,-1.096,3.74,79.4,,,,1.5,11.61,3.3,8.38,-0.2253,-0.3267,0.394,3,66.67,3.2076,132.17,-120.56,,,,,10.0,2.0,,
rsi_reversal,US.TNA,6,-0.1599,-57.59,-95.9,,,7.0,,-33.73,-11.46,54.29,-0.3133,-0.4309,-0.211,34,55.88,0.7243,62.79,-96.52,,,,,,,30.0,75.0
rsi_reversal,US.TNA,5,-0.1599,-57.59,-95.9,,,7.0,,-33.73,-11.46,54.29,-0.3133,-0.4309,-0.211,34,55.88,0.7243,62.79,-96.52,,,,,,,30.0,70.0
breakout,US.SPY,6,-1.0406,-8.59,67.1,,,,1.5,10.19,2.91,9.3,-0.3427,-0.4654,0.3131,4,25.0,7.5824,86.09,-75.9,,,,,20.0,1.5,,
breakout,US.SPY,8,-1.2672,-16.79,73.0,,,,1.5,10.19,2.91,9.3,-0.3427,-0.4654,0.3131,4,25.0,7.5824,86.09,-75.9,,,,,10.0,1.5,,
breakout,US.SPY,7,-1.2352,1.12,71.8,,,,1.5,10.0,2.86,9.32,-0.348,-0.4732,0.3068,4,25.0,6.7769,86.09,-76.09,,,,,10.0,2.0,,
breakout,US.TNA,7,-0.1306,15.25,-200.2,,,,1.5,-28.18,-9.33,53.77,-0.3921,-0.5315,-0.1735,6,50.0,0.4978,62.79,-90.97,,,,,20.0,1.5,,
breakout,US.TNA,8,-0.1359,1.93,-188.5,,,,1.5,-28.18,-9.33,53.77,-0.3921,-0.5315,-0.1735,6,50.0,0.4978,62.79,-90.97,,,,,20.0,2.0,,
breakout,US.QQQ,8,-1.1128,-8.32,60.7,,,,1.5,7.88,2.27,12.12,-0.4368,-0.6173,0.1873,3,33.33,2.2767,132.17,-124.29,,,,,10.0,1.5,,
breakout,US.TNA,1,0.1836,57.74,338.6,,,,1.2,-42.47,-15.09,54.62,-0.438,-0.5921,-0.2762,9,44.44,0.4113,62.79,-105.26,,,,,20.0,2.0,,
rsi_reversal,US.TNA,8,-0.402,-76.99,-35.3,,,7.0,,-47.87,-17.52,57.81,-0.544,-0.7363,-0.3031,27,44.44,0.5338,62.79,-110.66,,,,,,,25.0,75.0
rsi_reversal,US.TNA,7,-0.402,-76.99,-35.3,,,7.0,,-47.87,-17.52,57.81,-0.544,-0.7363,-0.3031,27,44.44,0.5338,62.79,-110.66,,,,,,,25.0,70.0
breakout,US.TNA,2,0.1463,50.2,519.1,,,,1.2,-52.16,-19.59,62.26,-0.6132,-0.8163,-0.3147,11,27.27,0.3445,62.79,-114.95,,,,,20.0,1.5,,
